A, 54620, 43523
A, 52694, 42750
A, 53253, 43024
A, 54925, 42624
A, 54973, 43980
A, 52967, 42955
A, 55143, 40238
A, 53071, 44896
A, 55710, 44219
A, 54459, 43964
A, 54467, 44351
A, 53570, 41898
A, 55155, 43399
A, 54051, 41019
A, 55335, 44023
A, 54449, 42872
A, 53399, 42273
A, 54241, 43580
A, 56000, 41710
A, 53204, 42630
A, 54524, 42904
A, 55665, 44100
A, 55829, 40780
A, 54059, 42096
A, 53106, 42771
A, 54427, 43777
A, 55368, 41828
A, 53927, 45077
A, 55278, 44081
A, 55909, 41497
A, 53344, 42929
A, 55095, 42443
A, 55645, 43363
A, 55718, 43777
A, 57115, 44424
A, 54963, 44875
A, 54483, 43594
A, 54543, 44843
A, 54263, 39356
A, 53992, 42499
A, 54729, 40311
A, 55013, 44589
A, 53332, 43782
A, 52627, 41645
A, 57103, 40709
A, 54352, 42520
A, 50478, 42084
A, 54849, 41733
A, 53055, 42310
A, 55191, 42127
A, 51936, 41784
A, 54594, 44345
A, 52164, 42650
A, 56302, 42288
A, 52913, 44156
A, 53697, 46311
A, 53582, 40916
A, 52993, 40890
A, 54222, 43822
A, 52221, 43490
A, 55062, 44521
A, 52460, 42366
A, 54341, 45492
A, 52195, 42091
A, 53141, 41774
A, 53476, 41355
A, 54256, 44048
A, 56036, 42102
A, 54916, 42689
A, 53420, 44299
A, 54924, 42079
A, 56208, 41204
A, 53855, 42912
A, 55078, 42668
A, 52975, 43407
A, 52526, 43275
A, 56191, 42928
A, 56569, 44022
A, 53730, 42300
A, 56749, 45529
A, 55281, 42586
A, 56338, 39718
A, 52456, 43210
A, 55388, 42905
A, 55983, 42644
A, 54325, 45723
A, 52346, 41845
A, 52745, 42741
A, 54393, 42416
A, 53106, 42336
A, 56285, 41221
A, 54064, 41409
A, 53703, 44027
A, 54179, 45588
A, 55395, 42014
A, 53023, 46128
A, 56830, 40997
A, 57981, 42287
A, 52898, 41098
A, 54307, 42992
A, 55303, 44416
A, 52517, 43287
A, 53727, 41735
A, 55346, 40987
A, 53531, 43995
A, 54225, 40013
A, 54111, 43711
A, 55977, 44177
A, 55227, 44206
A, 52351, 45876
A, 49952, 42514
A, 55911, 44667
A, 55825, 42139
A, 53832, 43983
A, 54353, 42453
A, 50548, 44199
A, 54329, 44001
A, 54691, 42918
A, 54026, 42248
A, 54140, 42328
A, 54032, 42111
A, 54556, 42397
A, 55092, 43404
A, 54417, 42391
A, 57398, 41217
A, 55169, 42237
A, 53973, 44112
A, 53795, 43670
A, 52409, 41340
A, 51167, 45741
A, 56804, 43627
A, 56299, 42413
